Number,Block,Base,Fluff,Forehead,Belly,Mood,Nose,Tail,Pelt,Outline,Paws,Head,Face,Bottoms,Top,Tools,Unique,Status,Price,Offer,MaxOffer
1,12080536,Classic Plus,NA,NA,NA,Happy,NA,NA,NA,NA,Neon Green,Dark Pink Sweatband,3D Glasses,NA,NA,Lemon Icepop,NA,unlisted,0.0,1,0.2
2,12080767,Classic,NA,NA,NA,Pleased,NA,Light Brown,NA,NA,Cold Feet,NA,Red Glasses,Brown,NA,Water,NA,unlisted,0.0,0,0.0
3,12080747,Classic,NA,NA,Off White,Happy,Very Cold,NA,NA,NA,Mellow Yellow,Dark Pink Sweatband,Red Glasses,NA,NA,Blueberry Icepop,NA,unlisted,0.0,0,0.0
4,12082041,Black,NA,NA,Brown,Pleased,Grey,Blue,NA,NA,Mellow Yellow,Grey Crown,Blue Round Shades,Dark Green,NA,NA,NA,for_sale,5.0,1,0.1
5,12081917,Classic,NA,Blue,NA,Pleased,NA,Tan,NA,NA,Primary,Dark Pink Sweatband,Surprised Brows,Dark Green,NA,Dumbbell,NA,unlisted,0.0,0,0.0
6,12082035,Classic,NA,NA,NA,Silly,NA,NA,NA,NA,Neon Green,Blue Sweatband,VR,Black,Green Bandana,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
7,12082110,Mellow Yellow,NA,Brown,NA,Meh,Brown,Sage,NA,NA,Neon Green,NA,Surprised Brows,NA,Pumpkin,NA,NA,for_sale,4.2,0,0.0
8,12082261,Basic Pink,NA,NA,NA,Silly,NA,Sage,NA,NA,Mellow Yellow,NA,Green Blue Goggles,NA,Pumpkin,Strawberry Ice Cream,NA,for_sale,0.88,0,0.0
9,12082114,Stallion,NA,NA,Off White,Pleased,Pink,NA,NA,Brown,NA,Small Pink Bow,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
10,12082202,Passion Fruit,NA,NA,NA,Happy,Brown,NA,NA,NA,NA,Grey Crown,NA,NA,NA,NA,NA,for_sale,6.0,1,0.08
11,12082466,Mellow Yellow,NA,NA,NA,Pleased,NA,NA,NA,Red,NA,Dark Pink Sweatband,Sunglasses,Green,Green Bandana,NA,NA,unlisted,0.0,0,0.0
12,12082675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Boy Who Lived,unlisted,0.0,1,0.5
13,12082713,Basic Pink,NA,NA,Grey,Pleased,Cold,Purple,NA,Light Blue,Cold Feet,NA,Sunglasses,NA,Pink Collar,Berry Ice Pop,NA,unlisted,0.0,1,0.17
14,12082907,Classic,NA,NA,NA,Happy,Grey,Light Pink,NA,Brown,NA,Tophat,Green Goggles,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
15,12082779,Cornflower,NA,NA,NA,Silly,Brown,NA,NA,Light Blue,NA,Dark Pink Sweatband,Alert Brows,Black,NA,Dumbbell,NA,unlisted,0.0,0,0.0
16,12082913,Classic,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Black Sweatband,Surprised Brows,NA,Yellow Bandana,Berry Ice Pop,NA,for_sale,0.8,0,0.0
17,12083141,Classic,NA,NA,NA,Pleased,NA,NA,NA,Brown,Cold Feet,Dark Green Sweatband,Green Round Shades,Jeans,Yellow Bandana,Berry Ice Pop,NA,unlisted,0.0,0,0.0
18,12083163,Dark Grey,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Tophat,3D Glasses,NA,NA,Water,NA,unlisted,0.0,0,0.0
19,12083165,Pistachio,NA,NA,NA,Content,NA,Blue,NA,Blue,NA,NA,Dark Blue Round Shades,Orange,Blue Collar,NA,NA,unlisted,0.0,1,0.081
20,12083151,Blush,Blue,NA,NA,Pleased,Pink,Tan,NA,NA,NA,NA,NA,NA,Pink Collar,NA,NA,unlisted,0.0,1,0.081
21,12083139,Thin Mint,NA,NA,NA,Meh,NA,Tan,NA,NA,Dark Brown,NA,Red Round Shades,NA,NA,NA,NA,for_sale,1.5,0,0.0
22,12083204,Grey,NA,NA,Off White,Pleased,Pink,Purple,NA,Yellow,Sage,Green Sweatband,3D Glasses,NA,NA,Berry Ice Pop,NA,unlisted,0.0,1,0.1
23,12083222,Fire,NA,NA,NA,Pissed,Orange,NA,NA,NA,NA,NA,Alert Brows,NA,Purple Heart,NA,NA,unlisted,0.0,1,0.081
24,12083242,Thin Mint,NA,NA,Brown,Unamused,Grey,NA,NA,NA,Neon Green,Dark Pink Sweatband,VR Blue,NA,Red Collar,NA,NA,unlisted,0.0,1,0.081
25,12083236,Classic Plus,NA,NA,NA,Pleased,NA,Tan,Brown Spots,NA,NA,Dark Pink Sweatband,Green Readers,NA,NA,Berry Ice Pop,NA,for_sale,25.0,0,0.0
26,12083283,Classic,NA,NA,NA,Meh,Pink,Sage,NA,NA,NA,NA,Green Round Shades,NA,NA,NA,NA,for_sale,0.5,1,0.042
27,12083290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uniswap,for_sale,11.0,1,0.51
28,12083321,Classic,NA,NA,Brown,Pleased,Grey,NA,NA,Light Blue,Pastel,Black Sweatband,VR Green,NA,Green Flowers,NA,NA,for_sale,0.91,0,0.0
29,12083313,Grapefruit,NA,NA,NA,Happy,NA,Light Green,Orange Brown Stripes,Brown,NA,Purple,Yellow Orange Shades,Pink,Orange Flowers,NA,NA,for_sale,0.83,0,0.0
30,12083386,Dark Grey,NA,NA,NA,Unamused,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,1,0.05
31,12083392,Classic,NA,NA,NA,Content,Brown,Brown,NA,NA,NA,Coachella,NA,NA,NA,NA,NA,unlisted,0.0,1,0.03
32,12083435,Black,NA,Blue,NA,Unamused,NA,On Fire,NA,NA,Mellow Yellow,NA,Yellow Goggles,NA,Green Bandana,Blue Saber,NA,unlisted,0.0,0,0.0
33,12083443,Classic Plus,NA,NA,NA,Pleased,Purple,Light Green,NA,NA,NA,Dark Pink Sweatband,Red Glasses,NA,NA,NA,NA,for_sale,3.33,0,0.0
34,12083349,Carmel,NA,NA,NA,Happy,NA,NA,Brown Spots,NA,NA,NA,Green Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
35,12083254,Dark Grey,NA,NA,NA,Pleased,NA,Light Green,NA,Pink,NA,Teal Hat,Blue Readers,Orange,Blue Bandana,NA,NA,for_sale,0.12,0,0.0
36,12083268,Flamingo,NA,NA,NA,Content,NA,NA,White Spots,Green,NA,Small Pink Bow,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
37,12083475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proof Of Beauty,unlisted,0.0,1,0.4
38,12083499,Coffee,NA,Pink,NA,Happy,NA,Yellow,NA,NA,NA,Red Beanie With Pompom,Curious Brows,NA,NA,Blue Saber,NA,for_sale,0.149,0,0.0
39,12083422,Classic,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Crown,Skeptical Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
40,12083454,Classic,NA,NA,NA,Pleased,Orange,NA,NA,NA,Purples,Pink Crown,Skeptical Brows,NA,Yellow Heart,NA,NA,unlisted,0.0,0,0.0
41,12083503,Grey,NA,Cream,NA,Silly,NA,Purple,NA,NA,Dark Purple,NA,Blue Round Shades,Brown,Blue Bandana,NA,NA,for_sale,0.199,0,0.0
42,12083504,Free Britney,NA,NA,NA,Pleased,NA,Dark Brown,NA,NA,NA,Green Bow,NA,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
43,12083308,Blush,NA,NA,NA,Pleased,Brown,NA,NA,Green,Purples,Black Sweatband,Green Sunglasses,NA,NA,Blue Saber,NA,unlisted,0.0,0,0.0
44,12083325,Classic,NA,Cream,NA,Pleased,NA,NA,White Spots,NA,NA,Dark Pink Sweatband,Pink Sunglasses,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
45,12083589,Pistachio,NA,NA,NA,Content,Brown,NA,NA,NA,NA,Orange Bow,Blue Shield Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
46,12083572,Basic Pink,NA,NA,NA,Meh,NA,NA,NA,Pink,NA,NA,VR Green,NA,NA,NA,NA,unlisted,0.0,0,0.0
47,12083625,Pistachio,NA,NA,NA,Unamused,Purple,NA,NA,Pink,NA,NA,Black Red Goggles,NA,Green Bandana,Wine,NA,unlisted,0.0,0,0.0
48,12083478,Classic,NA,NA,NA,Happy,NA,Yellow,Brown Spots,Brown,Neon Green,Orange Bow,Green Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
49,12083661,Cornflower,NA,NA,NA,Happy,Orange,Tan,NA,Pink,Mellow Yellow,Dark Pink Sweatband,Pink Sunglasses,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
50,12083557,Free Britney,NA,NA,NA,Unamused,NA,NA,NA,Lime,NA,NA,Purple Pink Shades,Blue,Red Bandana,NA,NA,unlisted,0.0,0,0.0
51,12083687,Classic,NA,NA,Blue,Pleased,Cold,Tan,The White Stripes,NA,NA,NA,Blue Green Shades,NA,Yellow Bandana,NA,NA,for_sale,0.69,0,0.0
52,12083700,Fern,NA,NA,NA,Pleased,Brown,Tan,NA,Green,NA,Red Beanie With Pompom,Pissed Brows,NA,Blue Bandana,Blueberry Icepop,NA,unlisted,0.0,0,0.0
53,12083723,Stallion,NA,NA,NA,Silly,NA,Purple,NA,NA,Seafoam Green,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
54,12083582,Cornflower,NA,NA,NA,Happy,NA,NA,NA,Blue,Pastel,NA,Orange Snorkel,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
55,12083761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Artblocks,unlisted,0.0,1,0.51
56,12083783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crypto Kitty,unlisted,0.0,1,0.51
57,12083827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Axie,for_sale,14.0,1,0.51
58,12083832,Fern,NA,NA,NA,Happy,Pink,NA,NA,Lime,NA,Mellon,Purple Snorkel,Jeans,Purple Flowers,Berry Ice Pop,NA,unlisted,0.0,0,0.0
59,12083796,Black,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,NA,Black,NA,NA,NA,unlisted,0.0,1,0.05
60,12083862,Black,NA,NA,NA,Pleased,NA,Yellow,NA,NA,NA,NA,VR Green,NA,NA,NA,NA,unlisted,0.0,0,0.0
61,12083842,Fire,NA,NA,NA,Pleased,Brown,NA,NA,Yellow,NA,NA,Surprised Brows,NA,Yellow Heart,NA,NA,for_sale,1.0,1,0.04
62,12083891,Grapefruit,NA,NA,NA,Meh,Orange,Blue,NA,NA,NA,Purple Bow,Green Round Shades,NA,Red Bandana,Dumbbell,NA,unlisted,0.0,0,0.0
63,12083915,Black,NA,NA,NA,Silly,Cold,NA,NA,NA,Seafoam Green,NA,Over It Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
64,12083900,Perry Winks,NA,NA,NA,Meh,NA,Dark Brown,NA,Lime,NA,NA,Red Round Shades,NA,Red Bandana,Red Saber,NA,unlisted,0.0,0,0.0
65,12083918,Dark Grey,NA,NA,NA,Content,NA,NA,NA,NA,NA,NA,NA,Pink,NA,Water,NA,for_sale,2.5,0,0.0
66,12083921,Ocean,NA,NA,NA,Unamused,NA,Light Green,NA,NA,NA,Green Sweatband,Neon Pink Shades,NA,Purple Heart,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
67,12083810,Steel,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,VR,NA,Pumpkin,Red Saber,NA,unlisted,0.0,0,0.0
68,12083845,Basic Pink,NA,NA,NA,Silly,NA,NA,NA,Lime,Neon Green,Green Crown,Curious Brows,NA,Purple Bandana,Dumbbell,NA,unlisted,0.0,0,0.0
69,12083956,Walnut,NA,NA,NA,Pissed,Purple,Purple,NA,Lime,NA,Teal Hat,Surprised Brows,Dark Green,NA,NA,NA,unlisted,0.0,0,0.0
70,12083969,Pistachio,Pink,NA,NA,Happy,NA,NA,White Spots,NA,NA,Dark Green Sweatband,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
71,12083972,Thin Mint,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Coachella,Alert Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
72,12083814,Classic,Neon Green,NA,NA,Silly,NA,Tan,Brown Spots,Lime,NA,Blue Crown,VR,NA,NA,NA,NA,unlisted,0.0,0,0.0
73,12083968,Ocean,NA,NA,NA,Meh,NA,NA,NA,Yellow,NA,NA,Pink Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
74,12083837,Classic,NA,Pink,NA,Content,NA,Tan,NA,Lime,NA,Red Beanie With Pompom,Pissed Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
75,12083999,Classic,NA,NA,NA,Pleased,Purple,Blue,NA,Yellow,NA,Red Beanie With Pompom,Yellow Goggles,Brown,NA,NA,NA,for_sale,5.0,0,0.0
76,12083958,Fern,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
77,12084008,Mellow Yellow,NA,Blue,NA,Meh,NA,Brown,NA,Blue,Seafoam Green,Yellow Hat,Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
78,12084012,Grey,NA,NA,Off White,Meh,Brown,NA,NA,NA,NA,Dark Green Sweatband,Green Readers,NA,NA,NA,NA,unlisted,0.0,0,0.0
79,12083926,Pistachio,Teal,NA,NA,Pissed,NA,NA,NA,NA,NA,Green Sweatband,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
80,12083923,Grapefruit,NA,NA,NA,Happy,NA,On Fire,NA,Green,NA,Purple Bow,Sunglasses,NA,Yellow Heart,Red Saber,NA,unlisted,0.0,0,0.0
81,12084028,Fire,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Another Red Beanie,Curious Brows,NA,Red Bandana,NA,NA,unlisted,0.0,0,0.0
82,12083914,Free Britney,NA,NA,NA,Happy,NA,NA,NA,Yellow,NA,Purple Bow,Blue Readers,NA,Pink Collar,Water,NA,unlisted,0.0,0,0.0
83,12083863,Steel,NA,NA,NA,Silly,NA,NA,NA,Grey,NA,Pumpkin Top,Red Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
84,12083799,Lavender,NA,NA,NA,Pissed,Very Cold,NA,NA,NA,NA,Red Bow,Red Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
85,12084044,Teal,NA,NA,NA,Unamused,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
86,12083877,Thin Mint,NA,NA,NA,Silly,NA,NA,NA,NA,Light Pink,Yellow Sweatband,Pink Protective Goggles,NA,NA,Lemon Icepop,NA,unlisted,0.0,0,0.0
87,12083835,Classic Plus,NA,NA,NA,Unamused,Pink,NA,NA,Blue,NA,Teal Hat,Red Round Shades,Green,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
88,12083794,Cornflower,NA,NA,NA,Unamused,NA,NA,NA,Pink,NA,Teal Hat,VR Orange Green,NA,NA,NA,NA,unlisted,0.0,0,0.0
89,12084036,Classic,NA,NA,NA,Meh,NA,NA,NA,Pink,NA,Green Crown,Alert Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
90,12084041,Teal,NA,NA,NA,Pleased,Pink,NA,NA,Yellow,NA,Blue Sweatband,Curious Brows,NA,Red Bandana,Berry Ice Pop,NA,unlisted,0.0,0,0.0
91,12083909,Lavender,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Purple Round Shades,Green,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
92,12083869,Black,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Curious Brows,NA,Red Bandana,Blueberry Icepop,NA,unlisted,0.0,0,0.0
93,12084053,Coffee,Neon Green,NA,NA,Content,Grey,NA,NA,NA,NA,NA,3D Glasses,Jeans,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
94,12083894,Black,NA,NA,NA,Unamused,Very Cold,NA,NA,NA,NA,NA,Neon Pink Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
95,12083931,Perry Winks,NA,NA,NA,Happy,NA,Tan,NA,NA,Dark Purple,NA,Red Glasses,Dark Green,NA,NA,NA,unlisted,0.0,0,0.0
96,12084031,Basic Pink,NA,NA,NA,Meh,NA,NA,NA,Yellow,NA,Pinkish Sweatband,NA,Brown,NA,NA,NA,unlisted,0.0,0,0.0
97,12083806,Basic Pink,Tan,NA,NA,Meh,NA,NA,NA,NA,NA,NA,Surprised Brows,NA,Red Bandana,Red Saber,NA,unlisted,0.0,0,0.0
98,12083997,Fire,NA,NA,NA,Pleased,NA,NA,NA,Yellow,NA,Orange Bow,Skeptical Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
99,12084045,Coffee,NA,NA,NA,Content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
100,12083988,Black,NA,NA,NA,Content,NA,On Fire,NA,NA,NA,NA,VR,NA,NA,NA,NA,for_sale,1.0,0,0.0
101,12084058,Grapefruit,Neon Green,NA,NA,Pleased,NA,NA,NA,NA,NA,Orange Bow,Purple Round Shades,NA,Blue Bandana,Dumbbell,NA,for_sale,0.4,0,0.0
102,12083994,Grey,NA,NA,NA,Happy,Brown,NA,NA,NA,Light Pink,NA,VR Green,NA,Heart,Lemon Icepop,NA,unlisted,0.0,0,0.0
103,12084003,Classic,NA,NA,NA,Pleased,NA,Sage,NA,NA,NA,Berry Crown,Green Blue Goggles,Black,Red Collar,Dumbbell,NA,unlisted,0.0,0,0.0
104,12084066,Dark Grey,NA,NA,NA,Silly,NA,Light Green,NA,NA,NA,Black Beanie,Blue Green Shades,NA,NA,Blue Saber,NA,unlisted,0.0,0,0.0
105,12084071,Classic,NA,NA,NA,Pleased,NA,Yellow,White Spots,NA,NA,Blue Sweatband,Blue Readers,NA,Yellow Heart,Water,NA,for_sale,3.0,0,0.0
106,12083879,Cornflower,NA,NA,NA,Pissed,Grey,Tan,NA,Pink,NA,Crown,Curious Brows,NA,Red Bandana,NA,NA,unlisted,0.0,0,0.0
107,12084061,Grey,NA,NA,Off White,Pleased,NA,On Fire,The White Stripes,NA,NA,NA,VR Orange Green,NA,NA,NA,NA,unlisted,0.0,0,0.0
108,12083975,Ocean,NA,NA,NA,Pissed,Orange,NA,NA,NA,Neon Green,Dark Purple Sweatband,Blue Readers,NA,NA,NA,NA,unlisted,0.0,0,0.0
109,12083858,Coffee,NA,Brown,NA,Pleased,Brown,Sage,NA,NA,Mellow Yellow,NA,VR Green,NA,NA,Blue Saber,NA,unlisted,0.0,0,0.0
110,12084038,Teal,NA,NA,NA,Happy,NA,NA,NA,NA,Seafoam Green,Birthday Blue,Blue Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
111,12083828,Teal,Blue,NA,NA,Happy,NA,NA,NA,Brown,Cold Feet,Another Red Beanie,Pink Protective Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
112,12084050,Classic,NA,Pink,NA,Happy,Grey,NA,The White Stripes,NA,NA,Dark Pink Sweatband,Blue Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
113,12084089,Coffee,NA,Brown,NA,Pleased,NA,NA,NA,Lime,NA,Pink Crown,Pissed Brows,Orange,NA,NA,NA,unlisted,0.0,0,0.0
114,12084079,Mellow Yellow,NA,NA,NA,Pissed,NA,NA,NA,Lime,NA,Pinkish Sweatband,Red Glasses,NA,Heart,NA,NA,unlisted,0.0,0,0.0
115,12084096,Black,NA,NA,NA,Silly,Pink,NA,NA,NA,NA,Yellow Hat,Pink Sunglasses,Brown,NA,NA,NA,unlisted,0.0,0,0.0
116,12084090,Classic,NA,NA,NA,Meh,NA,NA,NA,NA,NA,NA,Red Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
117,12084099,Teal,NA,Cream,NA,Silly,Brown,NA,NA,NA,NA,Red Beanie With Pompom,Pink Sunglasses,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
118,12084082,Free Britney,NA,NA,NA,Pleased,NA,NA,NA,Yellow,NA,Red Beanie With Pompom,Green Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
119,12084059,Pistachio,NA,NA,Blue,Pleased,NA,Light Pink,NA,Lime,NA,NA,Purple Round Shades,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
120,12084106,Thin Mint,NA,Brown,Off White,Happy,Brown,Light Brown,NA,NA,Cold Feet,Red Sweatband,NA,Green,NA,NA,NA,for_sale,0.19,0,0.0
121,12084109,Steel,NA,NA,NA,Unamused,Grey,NA,NA,NA,NA,Crown,Curious Brows,NA,Yellow Heart,Lemon Icepop,NA,unlisted,0.0,0,0.0
122,12083870,Perry Winks,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Yellow Hat,Purple Round Shades,Blue,Heart,Blueberry Icepop,NA,unlisted,0.0,0,0.0
123,12084113,Classic,NA,NA,NA,Meh,NA,NA,NA,NA,NA,NA,Curious Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
124,12084114,Teal,NA,NA,NA,Content,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
125,12084118,Passion Fruit,NA,NA,NA,Pleased,NA,Blue,NA,NA,Cold Feet,NA,NA,NA,Red Bandana,NA,NA,for_sale,0.2,0,0.0
126,12084147,Black,NA,NA,NA,Pissed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,for_sale,0.5,0,0.0
127,12084138,Free Britney,NA,NA,Grey,Unamused,Pink,NA,NA,Lime,NA,NA,NA,Blue,NA,NA,NA,for_sale,0.2,0,0.0
128,12084088,Teal,NA,NA,NA,Unamused,NA,NA,NA,NA,Mellow Yellow,Blue Crown,NA,NA,NA,NA,NA,for_sale,0.2,0,0.0
129,12084011,Basic Pink,NA,NA,NA,Happy,Cold,NA,NA,Lime,NA,Red Beanie With Pompom,Red Glasses,NA,NA,Berry Ice Pop,NA,for_sale,0.2,0,0.0
130,12084148,Black,NA,NA,NA,Meh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
131,12084122,Passion Fruit,NA,NA,NA,Pleased,NA,NA,NA,NA,Mellow Yellow,Green Bow,Pissed Brows,NA,Red Bandana,NA,NA,for_sale,0.2,0,0.0
132,12084149,Passion Fruit,NA,NA,NA,Meh,NA,NA,NA,Green,NA,Dark Green Sweatband,Blue Round Shades,NA,Purple Heart,NA,NA,unlisted,0.0,0,0.0
133,12083917,Grey,NA,NA,NA,Pleased,Brown,NA,NA,NA,NA,Tophat,Pink Protective Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
134,12083992,Mellow Yellow,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,NA,NA,Red Collar,NA,NA,unlisted,0.0,0,0.0
135,12083952,Ocean,NA,NA,NA,Happy,NA,NA,NA,Lime,NA,Tophat,Surprised Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
136,12084146,Perry Winks,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Yellow Goggles,NA,Purple Bandana,Wine,NA,unlisted,0.0,0,0.0
137,12084162,Black,NA,NA,NA,Unamused,Cold,NA,NA,Blue,NA,Blue Beanie,Blue Round Shades,NA,NA,Blueberry Icepop,NA,unlisted,0.0,0,0.0
138,12083934,Flamingo,NA,NA,NA,Pleased,Brown,NA,NA,NA,NA,Dark Pink Sweatband,Green Goggles,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
139,12083925,Lavender,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Neon Shield Glasses,NA,NA,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
140,12084160,Walnut,NA,NA,NA,Pissed,NA,NA,NA,NA,Dark Purple,Purple Bow,Curious Brows,NA,Green Bandana,Blue Saber,NA,for_sale,0.4,0,0.0
141,12084169,Passion Fruit,NA,NA,NA,Silly,NA,On Fire,NA,Pink,NA,Purple Bow,Light Orange Snorkel,NA,Green Bandana,Wine,NA,unlisted,0.0,0,0.0
142,12084163,Classic,NA,NA,NA,Meh,Cold,NA,NA,Red,NA,NA,Light Orange Snorkel,NA,NA,NA,NA,for_sale,0.2,0,0.0
143,12084120,Steel,NA,NA,NA,Happy,NA,NA,NA,Yellow,Purples,Red Beanie With Pompom,Blue Shield Glasses,NA,Green Bandana,NA,NA,unlisted,0.0,0,0.0
144,12084178,Classic,NA,NA,NA,Happy,Very Cold,Sage,NA,Lime,NA,Green Sweatband,NA,Jeans,NA,Berry Ice Pop,NA,for_sale,0.5,0,0.0
145,12084173,Classic,NA,NA,NA,Pleased,NA,NA,Brown Stripes,NA,NA,NA,NA,NA,NA,Water,NA,for_sale,2.0,0,0.0
146,12084111,Black,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Dark Pink Sweatband,Kris Jenner Shades,Blue,Green Bandana,Dumbbell,NA,unlisted,0.0,0,0.0
147,12084119,Teal,NA,NA,NA,Pleased,Cold,NA,NA,Light Blue,NA,Red Bow,Purple Round Shades,NA,Purple Heart,NA,NA,unlisted,0.0,0,0.0
148,12084195,Basic Pink,NA,NA,NA,Pleased,Pink,Sage,NA,Green,NA,Black Beanie,VR Purple,Green,NA,NA,NA,for_sale,3.0,0,0.0
149,12084200,Fern,NA,NA,NA,Content,NA,Sage,NA,NA,Purples,Dark Green Sweatband,Pissed Brows,NA,Green Bandana,NA,NA,for_sale,0.3,0,0.0
150,12084202,Coffee,NA,Blue,Blue,Silly,Brown,Light Green,NA,Pink,NA,Dark Pink Sweatband,Pink Purple Shades,NA,Blue Bandana,Red Saber,NA,unlisted,0.0,0,0.0
151,12084209,Fern,NA,NA,NA,Pissed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
152,12084210,Classic,NA,NA,NA,Pleased,Grey,NA,NA,NA,Mellow Yellow,Purple,Curious Brows,NA,Purple Flowers,Wine,NA,unlisted,0.0,0,0.0
153,12084211,Carmel,NA,NA,NA,Happy,Cold,NA,NA,NA,Primary,Green Sweatband,Curious Brows,Dark Green,Yellow Heart,NA,NA,for_sale,0.4711,0,0.0
154,12084214,Cornflower,NA,NA,NA,Meh,NA,Light Green,Brown Stripes,NA,NA,Birthday Pink,Skeptical Brows,Pink,Red Bandana,NA,NA,unlisted,0.0,0,0.0
155,12084219,Grey,NA,NA,NA,Content,Brown,NA,NA,NA,NA,Orange Bow,Green Round Shades,NA,Green Flowers,Berry Ice Pop,NA,unlisted,0.0,0,0.0
156,12083989,Blush,NA,NA,NA,Content,Brown,NA,NA,NA,NA,Green Bow,Yellow Goggles,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
157,12084132,Blush,NA,NA,NA,Content,NA,Blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
158,12084230,Carmel,NA,NA,NA,Content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
159,12084097,Classic Plus,NA,NA,NA,Pleased,NA,NA,NA,Brown,NA,Grey Crown,Dark Blue Round Shades,NA,NA,Blue Saber,NA,unlisted,0.0,0,0.0
160,12084244,Blush,NA,NA,NA,Content,NA,NA,NA,NA,NA,Pink Crown,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
161,12084246,Classic,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,for_sale,0.2,0,0.0
