Number,Block,Base,Fluff,Forehead,Belly,Mood,Nose,Tail,Pelt,Outline,Paws,Head,Face,Bottoms,Top,Tools,Unique,Status,Price,Offer,MaxOffer
2407,12089527,Mellow Yellow,NA,NA,NA,Pissed,NA,Light Brown,NA,NA,Mellow Yellow,Berry Crown,Protective Goggles,NA,Purple Heart,NA,NA,unlisted,0.0,0,0.0
2408,12089588,Cornflower,Neon Green,NA,NA,Pleased,NA,NA,NA,Green,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
2409,12089605,Perry Winks,NA,NA,NA,Content,NA,NA,NA,Lime,Purples,Blue Sweatband,Surprised Brows,NA,Red Collar,NA,NA,unlisted,0.0,0,0.0
2410,12089606,Classic Plus,NA,NA,NA,Happy,NA,Sage,NA,Lime,NA,Black Sweatband,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
2411,12089450,Basic Pink,NA,NA,NA,Pissed,NA,Blue,NA,Light Blue,NA,Orange Bow,Purple Pink Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
2412,12089484,Carmel,NA,NA,NA,Silly,NA,Yellow,NA,NA,Primary,Green Sweatband,NA,NA,NA,NA,NA,for_sale,0.8,0,0.0
2413,12089643,Blush,NA,Pink,NA,Content,Pink,NA,NA,Yellow,Dark Brown,Purple Bow,Pink Sunglasses,NA,Blue Bandana,NA,NA,for_sale,0.7,0,0.0
2414,12089653,Fern,NA,NA,NA,Pleased,Brown,Blue,NA,Pink,Neon Green,Purple Bow,Purple Pink Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
2415,12089632,Grey,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
2416,12089676,Coffee,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Pissed Brows,NA,Blue Collar,NA,NA,unlisted,0.0,0,0.0
2417,12089679,Perry Winks,NA,NA,NA,Pissed,Pink,NA,NA,NA,NA,NA,Over It Brows,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
2418,12089673,Classic,NA,NA,NA,Silly,NA,NA,NA,NA,NA,Purple Bow,NA,Dark Green,Pumpkin,NA,NA,for_sale,5.0,0,0.0
2419,12089509,Cornflower,NA,NA,NA,Unamused,NA,Sage,NA,NA,NA,NA,Red Round Shades,NA,NA,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
2420,12089652,Stallion,NA,NA,NA,Content,Brown,NA,NA,NA,NA,NA,Pink Sunglasses,NA,NA,NA,NA,for_sale,1.25,0,0.0
2421,12089719,Perry Winks,NA,Brown,NA,Silly,Orange,NA,NA,NA,Neon Green,Pink Crown,Green Sunglasses,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
2422,12089746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baby,for_sale,50.0,1,0.51
2423,12089751,Coffee,NA,NA,NA,Content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
2424,12089776,Cornflower,NA,NA,Grey,Pleased,Grey,Blue,NA,Brown,Neon Green,NA,Pink Protective Goggles,NA,NA,Strawberry Ice Cream,NA,for_sale,0.35,0,0.0
2425,12089661,Black,NA,Pink,NA,Pleased,Grey,NA,NA,NA,Cold Feet,NA,Curious Brows,Orange,Pink Collar,NA,NA,for_sale,3.5,0,0.0
2426,12089775,Grey,NA,NA,NA,Pleased,NA,NA,White Spots,Yellow,NA,Green Sweatband,Kris Jenner Shades,Green,NA,NA,NA,unlisted,0.0,0,0.0
2427,12089802,Teal,Orange,NA,NA,Happy,NA,Tan,NA,Light Blue,NA,NA,NA,Orange,Yellow Heart,Lemon Icepop,NA,for_sale,0.5,0,0.0
2428,12089817,Cornflower,NA,NA,Grey,Pissed,Brown,Brown,NA,Lime,NA,NA,Neon Shield Glasses,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
2429,12089833,Black,NA,NA,NA,Happy,Pink,On Fire,NA,Green,NA,NA,Pissed Brows,Brown,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
2430,12089841,Coffee,Tan,NA,NA,Meh,Pink,Blue,Orange Brown Stripes,NA,Sage,NA,Blue Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
2431,12089840,Classic Plus,NA,NA,Blue,Pleased,Cold,Tan,NA,Green,NA,Green Beanie,Neon Shield Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
2432,12089845,Free Britney,NA,NA,NA,Silly,NA,NA,NA,NA,Purples,Dark Green Sweatband,Curious Brows,Brown,Orange Flowers,Blue Saber,NA,unlisted,0.0,0,0.0
2433,12089601,Coffee,NA,NA,NA,Happy,Pink,Light Brown,NA,Brown,NA,Pumpkin Top,Curious Brows,NA,Purple Heart,NA,NA,unlisted,0.0,0,0.0
2434,12089862,Classic,NA,NA,NA,Unamused,NA,NA,NA,Pink,Dark Pink,Green Sweatband,NA,Pink,Purple Bandana,Wine,NA,unlisted,0.0,0,0.0
2435,12089848,Classic,NA,NA,NA,Pleased,Purple,NA,NA,Blue,NA,NA,Red Glasses,Jeans,NA,NA,NA,for_sale,14.0,0,0.0
2436,12089809,Black,NA,NA,NA,Meh,NA,NA,NA,NA,NA,NA,Orange Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
2437,12089887,Cornflower,NA,NA,Brown,Pleased,Pink,NA,Brown Spots,NA,Purples,Small Pink Bow,Green Readers,NA,NA,NA,NA,unlisted,0.0,0,0.0
2438,12089888,Cornflower,NA,NA,Pink,Pissed,Brown,NA,Brown Spots,Pink,NA,Orange Bow,VR Orange Green,NA,NA,NA,NA,unlisted,0.0,0,0.0
2439,12089885,Pistachio,NA,NA,NA,Silly,Pink,Light Pink,NA,Pink,NA,Purple Bow,Pink Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
2440,12089900,Blush,Tan,NA,NA,Content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
2441,12089907,Teal,NA,NA,NA,Meh,NA,Brown,NA,Pink,NA,NA,VR,Dark Green,Red Bandana,NA,NA,unlisted,0.0,0,0.0
2442,12089897,Teal,NA,NA,NA,Silly,Grey,Brown,NA,NA,Mellow Yellow,Red Beanie,Red Readers,NA,Blue Collar,NA,NA,for_sale,4.0,0,0.0
2443,12089925,Carmel,NA,NA,Blue,Silly,Grey,Purple,NA,Grey,NA,Small Pink Bow,Over It Brows,NA,Tie,Blueberry Icepop,NA,unlisted,0.0,0,0.0
2444,12089708,Grapefruit,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
